latitude,longitude,acq_date,confidence,frp
21.5606,83.8153,2023-10-01,83.0,32.1
13.093,85.7055,2023-10-01,76.0,24.1
23.6243,77.9537,2023-10-01,62.3,29.5
17.8979,77.378,2023-10-01,77.7,17.5
15.3068,81.1566,2023-10-01,81.2,16.1
16.5508,82.5438,2023-10-01,81.9,14.1
24.7771,78.3268,2023-10-01,76.3,3.9
19.8979,76.7544,2023-10-01,53.6,25.3
11.4125,83.5276,2023-10-01,65.2,7.7
11.1082,74.2857,2023-10-01,81.8,18.2
14.9934,75.5341,2023-10-01,92.3,18.5
20.0684,77.3977,2023-10-01,92.8,43.6
12.3634,83.4362,2023-10-01,52.3,28.7
25.928,81.8696,2023-10-01,90.0,11.0
14.3517,78.1789,2023-10-01,57.8,23.9
14.7231,76.6211,2023-10-01,93.7,9.0
31.2033,74.659,2023-10-01,91.6,173.0
29.9357,76.3868,2023-10-01,91.5,130.1
31.3586,74.5205,2023-10-01,86.4,97.9
31.6414,75.337,2023-10-01,81.9,48.8
30.3709,74.7876,2023-10-01,84.0,127.6
30.3449,76.2403,2023-10-01,94.8,110.3
29.2647,75.2557,2023-10-01,92.3,120.3
30.4295,74.6051,2023-10-01,70.7,98.8
30.0212,74.6358,2023-10-01,74.6,96.3
30.2152,76.2065,2023-10-01,71.7,172.5
31.7752,75.3347,2023-10-01,88.5,163.5
30.8349,75.1709,2023-10-01,96.0,139.7
30.0865,76.5826,2023-10-01,86.6,127.4
30.098,74.8199,2023-10-01,81.1,109.5
30.4166,76.6362,2023-10-01,72.3,46.1
30.3637,75.8088,2023-10-01,89.4,73.5
31.1699,74.8217,2023-10-01,88.9,16.2
14.6915,79.0458,2023-10-02,70.8,35.5
25.9848,85.559,2023-10-02,77.1,35.0
13.3078,84.5214,2023-10-02,69.0,11.3
23.9299,74.5505,2023-10-02,86.8,7.3
11.4272,78.8041,2023-10-02,67.9,20.5
14.2996,76.7981,2023-10-02,54.9,2.4
21.0971,79.6318,2023-10-02,93.1,38.2
13.3383,84.3835,2023-10-02,72.1,2.4
12.2034,81.5176,2023-10-02,57.0,23.2
18.7218,84.703,2023-10-02,76.0,31.4
12.5075,73.1023,2023-10-02,52.1,33.3
13.1666,81.7628,2023-10-02,75.9,6.2
19.2404,75.814,2023-10-02,83.2,5.5
21.834,80.7499,2023-10-02,84.3,2.8
14.9362,82.8943,2023-10-02,76.3,38.3
21.0546,73.9566,2023-10-02,65.6,13.7
24.343,85.9353,2023-10-02,53.5,36.6
22.1783,85.9886,2023-10-02,57.4,13.2
12.5901,80.1239,2023-10-02,94.4,23.1
22.3637,82.6957,2023-10-02,77.6,9.0
10.5464,84.854,2023-10-02,64.7,8.3
19.7959,81.1464,2023-10-02,72.7,7.2
16.971,80.3471,2023-10-02,86.9,23.0
14.9485,84.455,2023-10-02,90.9,12.0
25.7139,83.7245,2023-10-02,93.3,38.9
20.4684,84.1482,2023-10-02,64.0,33.7
13.8041,77.371,2023-10-02,83.1,40.8
18.4493,78.2148,2023-10-02,57.7,39.5
22.3526,75.1365,2023-10-02,63.9,2.6
31.2291,75.2976,2023-10-02,98.6,30.7
30.1487,76.651,2023-10-02,77.9,159.1
30.3825,75.2971,2023-10-02,100.0,100.1
31.3047,74.7407,2023-10-02,85.1,87.7
30.1798,75.5443,2023-10-02,95.7,95.8
30.2811,76.3132,2023-10-02,70.4,104.4
31.1141,75.5587,2023-10-02,93.1,64.7
29.8341,76.8093,2023-10-02,92.4,55.2
29.8841,76.0079,2023-10-02,98.9,33.6
31.4553,75.4099,2023-10-02,83.6,83.8
29.902,76.1819,2023-10-02,78.3,39.9
30.3643,76.1789,2023-10-02,80.4,170.1
29.6082,76.7914,2023-10-02,90.9,82.5
31.2882,75.0059,2023-10-02,74.3,87.6
30.5547,76.2879,2023-10-02,99.6,133.0
29.418,76.1649,2023-10-02,97.8,131.2
30.6936,76.7662,2023-10-02,71.0,180.1
10.0292,84.5843,2023-10-03,50.3,11.2
22.1642,75.0111,2023-10-03,57.9,3.0
13.5483,76.6735,2023-10-03,84.7,26.7
10.6643,78.0665,2023-10-03,94.0,4.7
16.0986,73.0394,2023-10-03,93.5,34.4
22.8945,85.0323,2023-10-03,72.5,7.2
22.0687,77.5026,2023-10-03,53.7,39.7
20.474,84.5149,2023-10-03,58.5,32.4
14.8582,75.2995,2023-10-03,82.7,38.7
19.7715,78.7822,2023-10-03,85.4,20.0
20.8522,77.8216,2023-10-03,53.3,18.8
20.7709,82.0491,2023-10-03,69.7,17.5
14.4062,74.2986,2023-10-03,75.0,21.3
12.5951,84.0965,2023-10-03,94.5,24.5
10.9893,75.0479,2023-10-03,71.4,42.4
23.5522,75.7139,2023-10-03,90.8,9.6
13.716,82.8595,2023-10-03,75.2,25.9
18.5509,78.1997,2023-10-03,63.4,9.3
25.0961,73.2531,2023-10-03,50.8,27.7
18.9346,83.7819,2023-10-03,75.7,33.4
20.5339,77.5774,2023-10-03,55.9,20.0
12.0662,85.3886,2023-10-03,78.0,37.8
14.0586,83.2611,2023-10-03,66.9,15.3
15.8377,74.1167,2023-10-03,85.7,39.8
18.1851,83.1929,2023-10-03,65.3,2.5
23.6059,73.3306,2023-10-03,86.1,28.9
19.8262,75.3025,2023-10-03,67.2,9.4
19.3683,83.4492,2023-10-03,68.5,43.1
15.2751,79.4314,2023-10-03,68.4,4.0
13.5545,80.5162,2023-10-03,69.9,7.5
11.5582,76.8582,2023-10-03,62.3,19.5
12.6935,80.0828,2023-10-03,63.8,24.3
18.4414,77.6743,2023-10-03,66.5,15.1
12.2923,84.1465,2023-10-03,74.6,27.4
25.7182,85.3873,2023-10-03,78.6,6.3
11.3706,76.4972,2023-10-03,81.3,3.4
10.2832,82.9952,2023-10-03,56.9,16.3
10.5329,76.0787,2023-10-03,77.4,32.2
13.6202,75.5222,2023-10-03,63.1,35.9
24.9451,74.0828,2023-10-03,88.9,15.6
24.1928,82.2815,2023-10-03,65.5,13.4
19.2319,85.2499,2023-10-03,78.2,21.7
24.5454,81.6581,2023-10-03,56.6,38.2
29.2704,76.1335,2023-10-03,83.4,21.3
30.5036,74.7638,2023-10-03,87.1,26.2
30.2816,74.8763,2023-10-03,75.3,104.5
29.5928,75.7236,2023-10-03,99.7,139.6
29.9765,76.0519,2023-10-03,73.0,128.5
32.0117,74.5735,2023-10-03,82.4,172.7
30.5239,75.5919,2023-10-03,78.1,60.6
30.3497,75.1527,2023-10-03,81.1,64.6
31.1451,74.9492,2023-10-03,79.7,27.3
30.5088,75.6016,2023-10-03,91.0,114.0
29.9311,76.1417,2023-10-03,95.4,89.0
29.9175,75.3923,2023-10-03,77.8,88.8
30.1229,74.4376,2023-10-03,94.2,143.9
29.3535,76.4914,2023-10-03,94.8,97.5
29.8985,75.3702,2023-10-03,87.5,71.8
29.8454,76.5047,2023-10-03,93.5,64.6
17.4048,80.3356,2023-10-04,58.4,27.9
20.7831,84.2675,2023-10-04,89.9,35.1
16.8229,81.1579,2023-10-04,75.1,3.5
