station_id,lat,lon,date,parameter,value,unit
IN_Delhi_ITO,28.63,77.24,2023-10-01,pm25,51.9,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-01,pm10,88.5,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-01,no2,27.5,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-01,so2,21.8,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-01,co,0.5,mg/m³
IN_Delhi_ITO,28.63,77.24,2023-10-01,o3,40.3,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-01,pm25,38.8,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-01,pm10,111.5,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-01,no2,42.5,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-01,so2,12.9,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-01,co,0.83,mg/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-01,o3,65.6,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-01,pm25,74.3,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-01,pm10,82.1,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-01,no2,25.1,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-01,so2,10.7,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-01,co,0.95,mg/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-01,o3,59.4,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-01,pm25,36.2,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-01,pm10,149.1,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-01,no2,45.6,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-01,so2,12.6,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-01,co,1.34,mg/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-01,o3,93.0,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-01,pm25,22.6,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-01,pm10,52.5,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-01,no2,29.0,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-01,so2,10.2,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-01,co,0.43,mg/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-01,o3,54.0,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-01,pm25,35.8,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-01,pm10,32.2,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-01,no2,19.3,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-01,so2,4.6,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-01,co,0.37,mg/m³
IN_Bengaluru_City,12.97,77.59,2023-10-01,o3,27.4,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-01,pm25,35.3,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-01,pm10,64.2,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-01,no2,25.4,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-01,so2,7.4,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-01,co,0.39,mg/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-01,o3,17.0,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-01,pm25,19.3,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-01,pm10,91.1,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-01,no2,33.7,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-01,so2,11.3,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-01,co,0.44,mg/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-01,o3,26.4,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-01,pm25,43.5,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-01,pm10,82.1,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-01,no2,25.8,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-01,so2,10.2,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-01,co,0.32,mg/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-01,o3,24.1,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-02,pm25,72.3,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-02,pm10,107.9,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-02,no2,33.4,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-02,so2,14.6,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-02,co,0.96,mg/m³
IN_Delhi_ITO,28.63,77.24,2023-10-02,o3,110.9,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-02,pm25,108.6,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-02,pm10,95.1,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-02,no2,38.3,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-02,so2,17.3,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-02,co,0.67,mg/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-02,o3,49.8,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-02,pm25,51.7,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-02,pm10,106.7,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-02,no2,47.8,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-02,so2,23.8,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-02,co,1.05,mg/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-02,o3,79.5,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-02,pm25,43.8,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-02,pm10,109.0,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-02,no2,34.1,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-02,so2,10.1,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-02,co,1.12,mg/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-02,o3,41.2,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-02,pm25,60.7,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-02,pm10,58.6,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-02,no2,25.3,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-02,so2,14.7,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-02,co,0.97,mg/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-02,o3,42.8,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-02,pm25,16.2,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-02,pm10,57.7,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-02,no2,25.1,ug/m³
