date,lat,lon,HCHO,NO2,CO,aerosol_index,temp,RH,wind_speed
2023-11-11,6.0,68.0,8.85652200350638e-05,4.348307552542432e-05,0.024212835540240854,0.026251989180198054,35.7,60.8,2.2
2023-11-11,6.0,68.5,7.389045829831308e-05,4.005552075110867e-05,0.018381297249570938,0.38777228438512956,35.0,55.6,3.4
2023-11-11,6.0,69.0,7.587450270096736e-05,4.094173308076468e-05,0.022062632936126057,0.4571413971148458,34.1,53.6,3.2
2023-11-11,6.0,69.5,7.637932356517008e-05,4.102393185305884e-05,0.01970534954027359,0.6730812914957742,33.4,54.0,3.0
2023-11-11,6.0,70.0,8.993895412659394e-05,4.268307265111671e-05,0.017323735479653022,0.20888681165691858,31.6,58.6,2.1
2023-11-11,6.0,70.5,8.677102405885872e-05,4.4177687966201254e-05,0.016158710497913557,0.6025597965834073,32.1,65.0,3.0
2023-11-11,6.0,71.0,9.028056269775427e-05,3.885290949780703e-05,0.019462006769457255,0.09339910261095188,34.9,64.5,3.2
2023-11-11,6.0,71.5,9.020781063385519e-05,4.4183019376559324e-05,0.01893863754356117,0.44491119216058006,33.0,66.6,2.2
2023-11-11,6.0,72.0,8.599199705639517e-05,3.816824839224274e-05,0.016199316423425272,0.536621753800945,32.9,65.2,2.4
2023-11-11,6.0,72.5,9.14149983506164e-05,3.899042044051544e-05,0.022336613539697427,0.3454121730506841,35.8,68.2,2.4
2023-11-11,6.0,73.0,7.706647703678992e-05,4.3070995448543e-05,0.024818045450858982,0.38755853015232544,31.9,70.4,2.7
2023-11-11,6.0,73.5,8.360893839947444e-05,3.809669475601842e-05,0.02322300872305247,0.427677828063474,32.9,68.5,2.4
2023-11-11,6.0,74.0,8.416299295545978e-05,4.4576706995297174e-05,0.02279355427369458,0.2172245745763008,33.3,56.4,2.1
2023-11-11,6.0,74.5,7.552720148594388e-05,3.569721828033315e-05,0.020753722143099482,0.31747605542617996,34.0,56.4,2.4
2023-11-11,6.0,75.0,8.727573071310199e-05,3.6717095052778454e-05,0.017055810889546958,0.7564376991091905,34.9,54.6,3.5
2023-11-11,6.0,75.5,8.401280200666973e-05,4.4206460539121924e-05,0.023979837000459202,0.3616807748725606,33.5,53.4,2.4
2023-11-11,6.0,76.0,7.353051326915253e-05,3.8485167294995573e-05,0.01916924690834624,0.3091196570790171,33.2,44.2,3.7
2023-11-11,6.0,76.5,7.499544946081253e-05,4.478708174351639e-05,0.015738759511928054,0.1816373599201319,34.3,52.2,2.3
2023-11-11,6.0,77.0,7.579974255456711e-05,3.7471163602911154e-05,0.015163369930082436,0.235705835133791,34.1,44.4,3.0
2023-11-11,6.0,77.5,8.233443102995649e-05,3.639756507121812e-05,0.015558775913022021,0.017230604755071932,34.0,44.2,3.5
2023-11-11,6.0,78.0,8.333110448254807e-05,4.489439547898594e-05,0.018929815563614748,0.443150657243208,33.4,34.9,2.3
2023-11-11,6.0,78.5,7.8861051650185e-05,4.367788316256058e-05,0.016237557792446695,0.23893391623936774,33.3,40.4,3.0
2023-11-11,6.0,79.0,8.702222641977806e-05,3.897504827462651e-05,0.02426949891286552,0.21558637758612756,32.6,48.0,2.5
2023-11-11,6.0,79.5,7.398339679564739e-05,3.963543911931609e-05,0.018844208933627146,0.30108414761125185,33.6,52.4,2.1
2023-11-11,6.0,80.0,7.470103308911842e-05,4.28802319401697e-05,0.024444973200052837,0.19101136182514217,33.2,59.3,2.3
2023-11-11,6.0,80.5,8.802856497260866e-05,3.942662940784997e-05,0.018779733810527617,0.1880034347521068,34.8,54.9,2.3
2023-11-11,6.0,81.0,8.84432068162218e-05,4.461855299599718e-05,0.017368513695489234,0.6340264293026341,35.3,56.9,2.1
2023-11-11,6.0,81.5,7.783278383511603e-05,3.727348548554279e-05,0.024060639887997094,0.40267004330216,30.7,59.1,2.5
2023-11-11,6.0,82.0,7.592168228482233e-05,3.7461904530883584e-05,0.018883429196495948,0.2632520647996445,31.9,74.7,2.5
2023-11-11,6.0,82.5,7.585908605721313e-05,4.402280778263061e-05,0.02066190310898335,0.18828943395072165,33.4,64.5,2.5
